epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,model_type,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp,tcn_layers,tcn_kernel_size,dropout_rate
45,0.016208178652010335,0.01786492548765458,0.024902036382298973,0.4820565106779116,2025-01-29 05:24:04,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
46,0.016208016253062296,0.017877326966002235,0.024914246122947206,0.4948428787513419,2025-01-29 05:24:15,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
47,0.016207548254169524,0.017867618107680824,0.024897054284092265,0.477699126025442,2025-01-29 05:24:25,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
48,0.016207273592732323,0.01785428195573807,0.02487844709548008,0.47439022804674946,2025-01-29 05:24:36,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
49,0.01620674179433902,0.017837527793370812,0.024865321053987945,0.46246054127176933,2025-01-29 05:24:46,0.0001,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
50,0.01619687280717033,0.018142519048719764,0.025201292253970213,1.8116402984223923,2025-01-29 05:24:57,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
51,0.01616672265127574,0.018076759909941145,0.02523065939880758,0.9497991132167467,2025-01-29 05:25:07,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
52,0.016099840648778965,0.018034862031807652,0.025206021906447294,0.7651139072020069,2025-01-29 05:25:18,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
53,0.016061707630628582,0.01799824422281932,0.025176163699984558,0.7007079869970718,2025-01-29 05:25:28,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
54,0.016069510841469577,0.017950506938543068,0.02512514514167392,0.6586623248422685,2025-01-29 05:25:39,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
55,0.016031288913246698,0.01793806890524036,0.025119956905803147,0.6527337658996825,2025-01-29 05:25:49,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
56,0.01603335858260213,0.017915643930596203,0.025097248777562153,0.6407666151618335,2025-01-29 05:26:00,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
