epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,model_type,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp,tcn_layers,tcn_kernel_size,dropout_rate
71,0.016101059564332502,0.017831245218577717,0.025028517809648706,0.7719238769723953,2025-01-29 04:37:40,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
72,0.01610098136730901,0.017830296411400957,0.025029358370165875,0.7706429877245949,2025-01-29 04:37:48,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
73,0.016101273617184744,0.017826385612743165,0.02502419935842758,0.7701016620693507,2025-01-29 04:37:57,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
74,0.01610091721252879,0.017824834788209436,0.025022245640447426,0.7684810096218954,2025-01-29 04:38:06,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
75,0.016100885010915014,0.017827016558219617,0.025026172981574658,0.7725659906813844,2025-01-29 04:38:15,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
76,0.01610086777207737,0.017823291199921553,0.025021428513990366,0.7683763844802317,2025-01-29 04:38:24,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
77,0.016100808031425426,0.017822841904234908,0.025020132068092463,0.7706992965775955,2025-01-29 04:38:33,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
78,0.016100788846748267,0.01782393608966877,0.025022371722124275,0.7713634614720294,2025-01-29 04:38:42,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
79,0.01610082578674958,0.017826372020982344,0.025026192077496616,0.7706713732671725,2025-01-29 04:38:51,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
80,0.016100702426827897,0.01782689374223108,0.025028082244687704,0.7687412510624804,2025-01-29 04:39:00,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
81,0.016100772187431774,0.017825110262220674,0.025025269381487934,0.7710977055987253,2025-01-29 04:39:08,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
82,0.016100806292578033,0.017823879971499687,0.02502476067078521,0.766978533853265,2025-01-29 04:39:17,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
83,0.016100838392825296,0.017824985948608856,0.025026342411696573,0.771655781512444,2025-01-29 04:39:26,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
84,0.016100769816534365,0.017821681945232204,0.025022981186876275,0.7682131095898341,2025-01-29 04:39:35,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
85,0.016100659374454308,0.01782339902498942,0.025025906755018593,0.7685814884819133,2025-01-29 04:39:44,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
86,0.016100574641704286,0.017822103841430462,0.02502469275047161,0.7655913620358141,2025-01-29 04:39:53,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
87,0.016100461272772672,0.01781840542838343,0.025020447286397574,0.7660504960192208,2025-01-29 04:40:02,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
88,0.016100532385781862,0.01781993043863554,0.025023891171114962,0.7672175885729232,2025-01-29 04:40:11,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
89,0.01610086918723338,0.017820162796001952,0.025024364384978525,0.764029430869311,2025-01-29 04:40:20,1.0000000000000002e-06,tcn,200,32,0.001,"['type=ReduceLROnPlateau', 'mode=min', 'factor=0.1', 'patience=10', 'threshold=0.0001', 'min_lr=1e-06']",Adam,20250129_042703,3,7,0.5
